C:\SDV\Data\IMG\center_2024_11_19_17_52_27_542.jpg, C:\SDV\Data\IMG\left_2024_11_19_17_52_27_542.jpg, C:\SDV\Data\IMG\right_2024_11_19_17_52_27_542.jpg, 0, 0, 0, 8.169196E-05
C:\SDV\Data\IMG\center_2024_11_19_17_52_27_645.jpg, C:\SDV\Data\IMG\left_2024_11_19_17_52_27_645.jpg, C:\SDV\Data\IMG\right_2024_11_19_17_52_27_645.jpg, 0, 0, 0, 7.833519E-05
C:\SDV\Data\IMG\center_2024_11_19_17_52_27_747.jpg, C:\SDV\Data\IMG\left_2024_11_19_17_52_27_747.jpg, C:\SDV\Data\IMG\right_2024_11_19_17_52_27_747.jpg, 0, 0, 0, 8.080455E-05
C:\SDV\Data\IMG\center_2024_11_19_17_52_27_853.jpg, C:\SDV\Data\IMG\left_2024_11_19_17_52_27_853.jpg, C:\SDV\Data\IMG\right_2024_11_19_17_52_27_853.jpg, 0, 0, 0, 7.989978E-05
C:\SDV\Data\IMG\center_2024_11_19_17_52_27_958.jpg, C:\SDV\Data\IMG\left_2024_11_19_17_52_27_958.jpg, C:\SDV\Data\IMG\right_2024_11_19_17_52_27_958.jpg, 0, 0, 0, 7.92821E-05
C:\SDV\Data\IMG\center_2024_11_19_17_52_28_060.jpg, C:\SDV\Data\IMG\left_2024_11_19_17_52_28_060.jpg, C:\SDV\Data\IMG\right_2024_11_19_17_52_28_060.jpg, 0, 0, 0, 7.899872E-05
C:\SDV\Data\IMG\center_2024_11_19_17_52_28_161.jpg, C:\SDV\Data\IMG\left_2024_11_19_17_52_28_161.jpg, C:\SDV\Data\IMG\right_2024_11_19_17_52_28_161.jpg, 0, 0, 0, 7.789639E-05
C:\SDV\Data\IMG\center_2024_11_19_17_52_28_266.jpg, C:\SDV\Data\IMG\left_2024_11_19_17_52_28_266.jpg, C:\SDV\Data\IMG\right_2024_11_19_17_52_28_266.jpg, 0, 0, 0, 8.419428E-05
C:\SDV\Data\IMG\center_2024_11_19_17_52_28_370.jpg, C:\SDV\Data\IMG\left_2024_11_19_17_52_28_370.jpg, C:\SDV\Data\IMG\right_2024_11_19_17_52_28_370.jpg, 0, 0, 0, 8.117104E-05
C:\SDV\Data\IMG\center_2024_11_19_17_52_28_472.jpg, C:\SDV\Data\IMG\left_2024_11_19_17_52_28_472.jpg, C:\SDV\Data\IMG\right_2024_11_19_17_52_28_472.jpg, 0, 0, 0, 7.733578E-05
C:\SDV\Data\IMG\center_2024_11_19_17_52_28_572.jpg, C:\SDV\Data\IMG\left_2024_11_19_17_52_28_572.jpg, C:\SDV\Data\IMG\right_2024_11_19_17_52_28_572.jpg, 0, 0, 0, 7.836177E-05
C:\SDV\Data\IMG\center_2024_11_19_17_52_28_676.jpg, C:\SDV\Data\IMG\left_2024_11_19_17_52_28_676.jpg, C:\SDV\Data\IMG\right_2024_11_19_17_52_28_676.jpg, 0, 0, 0, 8.136996E-05
C:\SDV\Data\IMG\center_2024_11_19_17_52_28_780.jpg, C:\SDV\Data\IMG\left_2024_11_19_17_52_28_780.jpg, C:\SDV\Data\IMG\right_2024_11_19_17_52_28_780.jpg, 0, 0, 0, 7.83103E-05
C:\SDV\Data\IMG\center_2024_11_19_17_52_28_883.jpg, C:\SDV\Data\IMG\left_2024_11_19_17_52_28_883.jpg, C:\SDV\Data\IMG\right_2024_11_19_17_52_28_883.jpg, 0, 0, 0, 7.929507E-05
C:\SDV\Data\IMG\center_2024_11_19_17_52_28_986.jpg, C:\SDV\Data\IMG\left_2024_11_19_17_52_28_986.jpg, C:\SDV\Data\IMG\right_2024_11_19_17_52_28_986.jpg, 0, 0, 0, 7.879196E-05
C:\SDV\Data\IMG\center_2024_11_19_17_52_29_089.jpg, C:\SDV\Data\IMG\left_2024_11_19_17_52_29_089.jpg, C:\SDV\Data\IMG\right_2024_11_19_17_52_29_089.jpg, 0, 0, 0, 7.775857E-05
